Código TACO,Descrição,Grupo,Fonte CMV,Fonte AG,Fonte AA,Umidade (%),Energia (kcal),Energia (kJ),Proteína (g),Lipídeos (g),Colesterol (mg),Carboidrato (g),Fibra Alimentar (g),Cinzas (g),Cálcio (mg),Magnésio (mg),Manganês (mg),Fósforo (mg),Ferro (mg),Sódio (mg),Potássio (mg),Cobre (mg),Zinco (mg),Retinol (mcg),RE (mcg),RAE (mcg),Tiamina (mg),Riboflavina (mg),Piridoxina (mg),Niacina (mg),Vitamina C (mg),AG - Saturados (g),AG - Mono-insaturados (g),AG - Poli-insaturados (g),AG - 12:0 (g),AG - 14:0 (g),AG - 16:0 (g),AG - 18:0 (g),AG - 20:0 (g),AG - 22:0 (g),AG - 24:0 (g),AG - 14:1 (g),AG - 16:1 (g),AG - 18:1 (g),AG - 20:1 (g),AG - 18:2 n-6 (g),AG - 18:3 n-3 (g),AG - 20:4 (g),AG - 20:5 (g),AG - 22:5 (g),AG - 22:6 (g),AG - 18:1t (g),AG - 18:2t (g),AA - Triptofano (g),AA - Treonina (g),AA - Isoleucina (g),AA - Leucina (g),AA - Lisina (g),AA - Metionina (g),AA - Cistina (g),AA - Fenilalanina (g),AA - Tirosina (g),AA - Valina (g),AA - Arginina (g),AA - Histidina (g),AA - Alanina (g),AA - Ácido Aspártico (g),AA - Ácido Glutâmico (g),AA - Glicina (g),AA - Prolina (g),AA - Serina (g)
344,"Carne, bovina, contra-filé, com gordura, grelhado",Carnes e derivados,Sim,Sim,,51.70666666666667,278.05356666666665,1163.3761229333334,32.39666666666667,15.49,143.86,0.0,,1.2166666666666668,4.463333333333334,18.66,0.0,218.53666666666666,2.3533333333333335,57.06666666666666,351.86,0.09333333333333334,4.78,0.0,0.0,0.0,0.0,0.18333333333333335,0.13,4.91,,7.4,6.3,0.2,0.01,0.5,4.24,2.24,0.01,,,,0.63,5.58,,0.14,0.03,0.01,,,,0.19,0.01,,,,,,,,,,,,,,,,,,
345,"Carne, bovina, contra-filé, sem gordura, cru",Carnes e derivados,Sim,Sim,,69.14333333333333,156.6158333333333,655.2806466666666,23.996666666666666,6.003333333333334,59.46,0.0,,0.9866666666666667,4.196666666666666,20.62666666666667,0.0,183.82333333333335,1.68,52.89333333333334,334.6166666666667,0.04666666666666667,3.24,0.0,0.0,0.0,0.0,0.2,0.0,4.64,,2.7,2.6,0.1,,0.15,1.48,0.89,0.01,,,,0.22,2.32,0.01,0.09,,0.02,0.01,,,0.08,0.01,,,,,,,,,,,,,,,,,,
346,"Carne, bovina, contra-filé, sem gordura, grelhado",Carnes e derivados,Sim,Sim,,57.53333333333333,193.69156666666663,810.4055149333332,35.88333333333333,4.486666666666667,101.9,0.0,,1.2733333333333332,4.996666666666667,21.06,0.0,240.60333333333335,2.3533333333333335,57.51,386.47,0.09333333333333334,5.136666666666667,0.0,0.0,0.0,0.0,0.16666666666666666,0.16,4.933333333333334,,2.0333333333333337,1.9,0.1,,0.09,1.12,0.68,,,0.01,,0.16,1.75,,0.07,0.01,0.01,,,,0.04,,,,,,,,,,,,,,,,,,,
347,"Carne, bovina, costela, assada",Carnes e derivados,Sim,Sim,,43.18666666666667,373.03886666666665,1560.7946181333334,28.80666666666667,27.72,94.587,0.0,,0.9866666666666667,28.006666666666664,19.546666666666667,0.0,179.05,2.18,91.86,270.00666666666666,0.08333333333333333,5.453333333333333,0.0,0.0,0.0,0.0,0.08333333333333333,0.35,0.5566666666666668,,11.8,12.1,0.3,0.03,0.89,6.32,3.76,0.03,,,,1.17,10.64,0.08,0.13,0.15,0.03,,,,0.76,0.1,,,,,,,,,,,,,,,,,,
348,"Carne, bovina, costela, crua",Carnes e derivados,Sim,Sim,,52.73,357.72246666666666,1496.7108005333334,16.706666666666667,31.75,44.19,0.0,,0.9,,11.676666666666668,0.0,129.96666666666667,1.2033333333333334,69.99666666666667,151.16,0.0,2.6966666666666668,4.566666666666666,4.566666666666666,4.566666666666666,0.12,0.11,0.0,5.99,,14.9,12.7,0.3,0.03,1.11,7.76,5.15,0.03,,,,1.31,11.05,0.12,0.15,0.12,,,,,0.76,0.15,,,,,,,,,,,,,,,,,,
349,"Carne, bovina, coxão duro, sem gordura, cozido",Carnes e derivados,Sim,Sim,,58.53333333333334,216.616066666667,906.3216229333333,31.88,8.923333333333334,71.1,0.0,,0.88,3.98,13.79,0.0,188.96666666666667,1.7,41.1,251.66,0.07,4.973333333333334,2.06,2.06,2.06,0.0,0.0,0.0,3.26,,3.5,4.1,0.2,,0.2,1.99,1.14,0.01,0.01,,,0.45,3.59,0.01,0.11,0.02,0.02,,,,0.16,0.08,,,,,,,,,,,,,,,,,,
350,"Carne, bovina, coxão duro, sem gordura, cru",Carnes e derivados,Sim,Sim,,69.80333333333334,147.96633333333335,619.0911386666668,21.513333333333335,6.22,59.98,0.0,,1.0933333333333335,2.953333333333333,21.11,0.0,188.51,1.8933333333333333,48.546666666666674,357.8766666666667,0.05,2.806666666666667,2.0666666666666664,2.0666666666666664,2.0666666666666664,0.11666666666666665,0.2,0.0,4.376666666666666,,2.86,2.4,0.1,,0.21,1.66,0.98,0.01,,,,0.22,2.12,,0.05,0.01,0.01,,,,0.1,0.04,,,,,,,,,,,,,,,,,,
351,"Carne, bovina, coxão mole, sem gordura, cozido",Carnes e derivados,Sim,Sim,,58.04333333333333,218.6751,914.9366183999999,32.38333333333333,8.913333333333332,84.15,0.0,,1.23,3.733333333333333,13.47,0.0,182.67333333333332,2.5566666666666666,43.50333333333333,238.50666666666666,0.11333333333333333,4.696666666666667,2.4666666666666663,2.4666666666666663,2.4666666666666663,0.0,0.0,0.0,4.09,,4.3,3.4,0.2,,0.26,2.36,1.46,0.01,,,,0.28,3.1,0.01,0.14,0.01,0.02,,,,0.15,0.05,,,,,,,,,,,,,,,,,,
352,"Carne, bovina, coxão mole, sem gordura, cru",Carnes e derivados,Sim,Sim,,68.59666666666666,169.06596666666667,707.3720045333333,21.23,8.693333333333333,83.82,0.0,,1.0433333333333332,2.986666666666667,20.716666666666665,0.0,175.40333333333334,1.8866666666666667,60.53333333333333,334.90333333333336,0.05,2.6333333333333333,2.61,2.61,2.61,0.12,0.19333333333333336,0.0,2.32,,3.9,3.7,0.1,,0.29,2.34,1.06,0.01,,,,0.45,3.23,,0.08,0.01,0.01,,,,0.12,0.02,,,,,,,,,,,,,,,,,,
353,"Carne, bovina, cupim, assado",Carnes e derivados,Sim,Sim,,48.417,330.1002908333333,1381.1396168466665,28.63125,23.042666666666666,90.8,0.0,,0.9593333333333334,7.623333333333332,18.206666666666667,0.0,212.27,2.703333333333333,71.58666666666667,321.0733333333333,0.08,5.286666666666666,0.0,0.0,0.0,0.0,0.07666666666666667,0.14,2.1633333333333336,,5.5,5.4,0.2,0.02,0.4,3.07,1.65,0.01,0.01,,,0.61,4.71,0.02,0.16,0.03,0.02,,,,0.22,0.01,,,,,,,,,,,,,,,,,,
